Survey,Tow,Date,Animal,Orientation,Taxa,Length,Calibration_mm,Body,Body_m,Height_scaled,Height_m,Y_low,Y_high,Midsection
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3125,0.0068,0.074646473769455,0.0016,-0.0012341034823944,0.000398825454549316,-0.000177370843039423
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.315,0.0069,0.0743330410619148,0.0016,-0.00122814915588399,0.000397923283865922,-0.000172902680751644
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3175,0.0069,0.0740196083543745,0.0016,-0.00122219482937359,0.000397021113182527,-0.000168434518463862
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.32,0.007,0.0737061756468342,0.0016,-0.00121624050286319,0.000396118942499132,-0.000163966356176082
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3225,0.0071,0.0734950195437282,0.0016,-0.00121028617635279,0.000397454123676038,-0.0001594981938883
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.325,0.0071,0.0732891083946956,0.0016,-0.00120433184984239,0.000398904040845778,-0.000155030031600519
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3275,0.0072,0.0730831972456631,0.0016,-0.00119837752333198,0.000400353958015519,-0.000150561869312738
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.33,0.0072,0.0728772860966305,0.0016,-0.00119242319682158,0.00040180387518526,-0.000146093707024957
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3325,0.0073,0.072671374947598,0.0016,-0.00118646887031118,0.000403253792355002,-0.000141625544737175
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.335,0.0073,0.0724654637985654,0.0016,-0.00118051454380078,0.000404703709524743,-0.000137157382449395
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3375,0.0074,0.0722595526495329,0.0016,-0.00117456021729037,0.000406153626694484,-0.000132689220161613
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.34,0.0074,0.0720536415005003,0.0016,-0.00116860589077997,0.000407603543864225,-0.000128221057873832
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3425,0.0075,0.0718477303514677,0.0016,-0.00116265156426957,0.000409053461033965,-0.00012375289558605
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.345,0.0075,0.0716418192024352,0.0016,-0.00115669723775917,0.000410503378203706,-0.00011928473329827
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3475,0.0076,0.0714359080534027,0.0016,-0.00115074291124876,0.000411953295373447,-0.000114816571010489
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.35,0.0077,0.0712299969043701,0.0016,-0.00114478858473836,0.000413403212543188,-0.000110348408722706
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3525,0.0077,0.0710240857553376,0.0016,-0.00113883425822796,0.000414853129712929,-0.000105880246434926
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.355,0.0078,0.070818174606305,0.0015,-0.00113287993171756,0.00041630304688267,-0.000101412084147145
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3575,0.0078,0.0706122634572725,0.0015,-0.00112692560520715,0.00041775296405241,-9.69439218593645e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.36,0.0079,0.0704063523082399,0.0015,-0.00112097127869675,0.000419202881222152,-9.24757595715839e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3625,0.0079,0.0702004411592074,0.0015,-0.00111501695218635,0.000420652798391892,-8.80075972838021e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.365,0.008,0.0699945300101747,0.0015,-0.00110906262567594,0.000422102715561633,-8.35394349960204e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3675,0.008,0.0697886188611422,0.0015,-0.00110310829916554,0.000423552632731375,-7.90712727082398e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.37,0.0081,0.0695827077121097,0.0015,-0.00109715397265514,0.000425002549901116,-7.4603110420458e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3725,0.0081,0.0693767965630771,0.0015,-0.00109119964614474,0.000426452467070856,-7.01349481326774e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.375,0.0082,0.0691708854140446,0.0015,-0.00108524531963434,0.000427902384240597,-6.56667858448956e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3775,0.0083,0.068964974265012,0.0015,-0.00107929099312393,0.000429352301410338,-6.1198623557115e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.38,0.0083,0.0687590631159795,0.0015,-0.00107333666661353,0.000430802218580079,-5.67304612693344e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3825,0.0084,0.0685531519669469,0.0015,-0.00106738234010313,0.000432252135749819,-5.22622989815526e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.385,0.0084,0.0683472408179143,0.0015,-0.00106142801359272,0.00043370205291956,-4.77941366937708e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3875,0.0085,0.0681571142725004,0.0015,-0.00105581898317878,0.000435151970089302,-4.33259744059915e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.39,0.0085,0.0680806368731404,0.0015,-0.00105269608465934,0.000436601887259042,-3.88578121182097e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3925,0.0086,0.0680041594737803,0.0015,-0.0010495731861399,0.000438051804428783,-3.43896498304279e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.395,0.0086,0.0679276820744202,0.0015,-0.00104645028762046,0.000439501721598524,-2.99214875426461e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3975,0.0087,0.0678512046750602,0.0015,-0.00104332738910101,0.000440951638768265,-2.54533252548655e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.4,0.0088,0.0677747272757002,0.0015,-0.00104020449058157,0.000442401555938005,-2.09851629670849e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.4025,0.0088,0.0676982498763401,0.0015,-0.00103708159206213,0.000443851473107748,-1.65170006793031e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.405,0.0089,0.06762177247698,0.0015,-0.00103395869354269,0.000445301390277487,-1.20488383915226e-05
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.4075,0.0089,0.0676938033986713,0.0015,-0.00103083579502325,0.000450000001224387,-7.58067610374077e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.41,0.009,0.0678018363375871,0.0015,-0.0010277128965038,0.000455486174299082,-3.1125138159602e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.4125,0.009,0.0679098692765029,0.0015,-0.00102458999798436,0.000460972347373777,1.35564847182038e-06
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.415,0.0091,0.0680179022154188,0.0015,-0.00102146709946492,0.000466458520448472,5.82381075960218e-06
